row,Date,Speaker,Process,Recipient,codeString
273,505,R,G,X,TP1.000
274,505,X,G,R,KS1.000
275,505,H,G,GT,TP1.000
276,505,X,G,H,GO1.000
277,505,H,G,X,EA1.000
278,505,X,G,H,IE1.000
279,505,H,G,X,IE1.000
280,505,X,G,H,EA1.000
281,505,H,G,X,IE1.000
282,505,X,G,H,GO1.000
283,505,H,G,X,IE1.000
284,505,R,G,GT,IE1.000
285,505,X,G,R,EA1.000
287,505,C,G,GT,EA1.000
288,505,H,R,GT,EA1.000
290,505,X,S,H,EA1.000
291,505,H,R,X,IE1.000
292,505,C,R,H,KS1.000
293,505,R,G,GT,TP1.000
294,505,X,G,R,GO1.000
295,505,C,G,GT,EA1.000
296,505,R,G,C,EA1.000
297,505,X,G,GT,EA1.000
298,505,R,G,X,EA1.000
299,505,X,G,R,TP1.000
300,505,R,G,X,EA1.000
301,505,C,G,GT,EA1.000
302,505,H,G,GT,EA1.000
303,505,C,G,GT,EA1.000
304,505,R,G,UC,EA1.000
305,505,X,G,UC,EA1.000
308,505,R,G,GT,EA1.000
310,505,X,G,R,TP1.000
311,505,H,S,GT,TP1.000
312,505,R,S,H,TP1.000
313,505,C,S,H,TP1.000
314,505,X,S,H,EA1.000
315,505,H,S,GT,EA1.000
316,505,C,S,GT,EA1.000
317,505,X,S,C,EA1.000
318,505,H,S,C,EA1.000
319,505,X,S,H,EA1.000
320,505,H,S,X,EA1.000
321,505,X,R,H,EA1.000
322,505,C,R,X,EA1.000
327,505,H,R,GT,IE1.000
328,505,X,G,GT,EA1.000
329,505,C,G,H,EA1.000
330,505,X,G,H,EA1.000
331,505,H,R,GT,EA1.000
332,505,C,G,GT,KS1.000
333,505,R,G,C,KS1.000
334,505,H,G,GT,EA1.000
335,505,X,G,C,TP1.000
336,505,C,G,GT,EA1.000
337,505,R,G,C,EA1.000
338,505,H,G,GT,EA1.000
339,505,C,G,GT,EA1.000
347,505,H,G,GT,IE1.000
348,505,R,G,GT,EA1.000
349,505,X,G,R,IE1.000
350,505,R,G,GT,GO1.000
352,505,R,G,GT,IE1.000
353,505,H,G,R,IE1.000
354,505,C,G,H,GO1.000
356,505,H,G,C,EA1.000
356,505,H,G,C,GO1.000
358,505,X,G,R,EA1.000
362,505,H,G,GT,IE1.000
363,505,C,G,H,TP1.000
364,505,R,G,H,IE1.000
366,505,R,G,GT,GO1.000
367,505,H,G,R,IE1.000
369,505,C,G,R,TP1.000
371,505,R,G,C,IE1.000
372,505,C,G,R,IE1.000
373,505,R,G,C,TP1.000
374,505,H,G,R,KS1.000
375,505,R,G,H,IE1.000
376,505,H,G,R,GO1.000
378,505,X,G,H,GO1.000
392,505,C,G,H,GO1.000
393,505,H,G,C,GO1.000
394,505,R,G,H,IE1.000
395,505,X,G,H,IE1.000
405,505,H,G,GT,IE1.000
407,505,R,G,GT,EA1.000
446,505,R,G,GT,TP1.000
447,505,H,G,R,GO1.000
447,505,H,G,R,TP1.000
448,505,C,G,R,IE1.000
451,505,C,G,GT,IE1.000
452,505,H,G,GT,TP1.000
454,505,H,G,C,OF1.000
455,505,C,G,GT,OF1.000
456,505,R,G,C,0.333IEOFTP
457,505,X,G,R,0.333IEOFTP
458,505,R,G,X,0.333IEOFTP
459,505,X,G,R,TP1.000
460,505,H,G,GT,TP1.000
461,505,C,G,GT,TP1.000
462,505,X,G,UC,TP1.000
463,505,UC,G,UC,TP1.000
464,505,C,G,GT,IE1.000
465,505,H,G,C,IE1.000
465,505,H,G,C,TP1.000
467,505,R,G,GT,TP1.000
468,505,H,T,R,TP1.000
469,505,R,T,GT,0.500IETP
470,505,C,T,R,TP1.000
471,505,R,T,C,0.500IETP
471,505,R,T,C,IE1.000
472,505,R,T,H,IE1.000
490,505,H,G,GT,IE1.000
491,505,X,G,GT,GO1.000
492,505,H,G,GT,TP1.000
493,505,C,G,GT,TP1.000
494,505,H,G,GT,IE1.000
495,505,R,G,H,IE1.000
496,505,C,G,GT,TP1.000
497,505,H,G,C,TP1.000
498,505,C,G,GT,TP1.000
500,505,X,G,C,0.333GO/IEKSTP
501,505,H,G,GT,IE1.000
506,505,H,G,GT,IE1.000
507,505,C,G,H,TP1.000
508,505,R,G,C,TP1.000
510,505,R,G,C,TP1.000
511,505,C,G,GT,0.333EAKSTP/IE
512,505,H,G,C,TP1.000
513,505,X,G,H,TP1.000
514,505,H,G,X,IE1.000
516,505,H,G,C,0.333KSTP/EA/OF/IETP/IE
518,505,R,G,C,IE1.000
531,505,H,G,C,GO1.000
532,505,C,G,H,IE1.000
533,505,C,G,GT,IE1.000
534,505,X,G,C,IE1.000
539,505,R,G,GT,UC1.000
540,505,H,G,R,TP1.000
541,505,C,G,R,0.500GOTP
541,505,C,G,R,IE1.000
545,505,C,G,GT,IE1.000
546,505,H,G,C,GO1.000
546,505,H,G,C,IE1.000
547,505,C,G,GT,TP1.000
549,505,,,,IE1.000
563,507,X,G,C,0.500IETP
564,507,R,G,X,IE1.000
565,507,C,G,C,0.500IETP
566,507,X,G,C,TP1.000
569,507,C,G,GT,0.500OFUC
570,507,R,G,C,0.333IEKSTP
571,507,X,G,C,IE1.000
572,507,C,G,C,IE1.000
573,507,R,G,C,IE1.000
574,507,C,G,R,TP1.000
575,507,H,G,C,0.500IETP
575,507,H,G,C,IE1.000
576,507,X,G,UC,TP1.000
579,507,R,G,C,TP1.000
580,507,C,G,R,TP1.000
581,507,R,G,GT,TP1.000
582,507,C,G,R,TP1.000
584,507,X,G,R,IE1.000
585,507,R,G,X,IE1.000
586,507,X,G,R,TP1.000
587,507,C,G,H,KS1.000
588,507,R,G,C,IE1.000
588,507,R,G,C,TP1.000
591,507,X,G,UC,0.333IEOFTP
593,507,H,G,C,TP1.000
595,507,X,G,C,TP1.000
596,507,C,G,X,IE1.000
596,507,C,G,X,TP1.000
597,507,X,G,GT,IE1.000
598,507,H,G,X,IE1.000
599,507,H,G,X,TP1.000
600,507,X,G,H,0.500IETP
601,507,H,G,X,IE1.000
601,507,H,G,X,TP1.000
602,507,H,G,X,IE1.000
603,507,X,G,H,IE1.000
604,507,R,G,X,IE1.000
605,507,H,G,X,IE1.000
606,507,C,G,H,IE1.000
607,507,H,G,C,IE1.000
608,507,C,G,H,IE1.000
609,507,H,G,C,IE1.000
610,507,X,G,H,IE1.000
611,507,C,G,X,TP1.000
612,507,X,G,C,TP1.000
613,507,C,G,X,TP1.000
614,507,R,G,C,TP1.000
615,507,X,G,R,TP1.000
616,507,H,G,GT,IE1.000
617,507,X,G,H,TP1.000
618,507,C,G,H,TP1.000
619,507,H,G,GT,TP1.000
620,507,R,G,C,TP1.000
621,507,H,G,R,IE1.000
622,507,R,G,H,TP1.000
623,507,C,G,H,TP1.000
624,507,X,G,GT,IE1.000
625,507,C,G,H,IE1.000
627,507,X,R,H,TP1.000
628,507,H,R,X,TP1.000
629,507,C,R,H,TP1.000
630,507,H,R,C,TP1.000
631,507,C,R,H,OF1.000
632,507,X,R,C,OF1.000
637,507,C,R,H,OF1.000
639,507,X,R,GT,OF1.000
640,507,H,R,GT,TP1.000
642,507,C,R,X,OF1.000
643,507,R,R,C,OF1.000
646,507,R,R,GT,OF1.000
647,507,X,G,R,OF1.000
650,507,H,G,GT,OF1.000
651,507,C,G,X,TP1.000
652,507,R,G,C,TP1.000
653,507,C,G,GT,TP1.000
654,507,X,G,C,TP1.000
656,507,H,G,R,IE1.000
657,507,R,G,H,IE1.000
658,507,R,G,H,IE1.000
659,507,H,G,R,OF1.000
660,507,R,G,H,OF1.000
661,507,R,G,H,OF1.000
662,507,H,G,GT,OF1.000
663,507,X,G,UC,OF1.000
664,507,R,G,GT,OF1.000
665,507,H,G,X,OF1.000
666,507,X,G,H,OF1.000
667,507,H,R,GT,OF1.000
669,507,R,R,GT,OF1.000
670,507,R,R,GT,OF1.000
672,507,X,R,R,OF1.000
673,507,R,R,C,OF1.000
674,507,C,R,X,OF1.000
674,507,C,R,X,TP1.000
675,507,X,R,C,TP1.000
676,507,C,R,GT,TP1.000
677,507,T,R,C,OF1.000
678,507,X,R,C,OF1.000
679,507,C,R,X,OF1.000
680,507,,R,,OF1.000
681,507,H,R,GT,OF1.000
682,507,C,R,H,OF1.000
684,507,H,R,X,OF1.000
685,507,X,R,H,OF1.000
686,507,H,R,X,IE1.000
687,507,X,R,H,IE1.000
689,507,H,G,R,OF1.000
690,507,R,G,H,OF1.000
691,507,X,G,R,OF1.000
692,507,C,G,R,OF1.000
693,507,R,G,GT,TP1.000
694,507,C,G,R,TP1.000
695,507,H,G,R,TP1.000
696,507,C,G,H,TP1.000
697,507,R,G,C,TP1.000
698,507,C,G,R,IE1.000
700,507,C,G,GT,TP1.000
701,507,X,G,C,TP1.000
702,507,C,G,X,TP1.000
703,507,X,G,C,IE1.000
704,507,C,G,X,TP1.000
705,507,R,G,GT,0.500IETP
706,507,X,G,GT,0.500IETP
707,507,R,G,UC,IE1.000
708,507,C,G,X,OF1.000
709,507,H,R,GT,OF1.000
711,507,X,R,H,OF1.000
713,507,X,R,R,TP1.000
714,507,C,R,X,UC1.000
715,507,H,R,R,OF1.000
716,507,R,R,H,OF1.000
717,507,X,R,R,OF1.000
718,507,H,R,R,OF1.000
720,507,X,R,C,UC1.000
721,507,R,R,X,UC1.000
722,507,C,R,R,OF1.000
724,507,R,R,C,OF1.000
725,507,H,R,C,OF1.000
726,507,C,R,H,OF1.000
727,507,X,R,C,OF1.000
728,507,C,R,X,OF1.000
729,507,X,R,C,OF1.000
